name,code,gst,pst,hst
Alberta,AB,0.05,0,0
British Columbia,BC,0.05,0.07,0
Manitoba,MB,0.05,0.07,0
New Brunswick,NB,0.05,0,0.1
Newfoundland,NFL,0.05,0,0.1
Northwest Territories,NWT,0.05,0,0
Nova Scotia,NS,0.05,0,0.1
Nunavut,NT,0.05,0,0
Ontario,ON,0.05,0,0.08
Prince Edward Island,PEI,0.05,0,0.1
Quebec,PQ,0.05,0,0.09975
Saskatchewan,SK,0.05,0.06,0
Yukon,YK,0.05,0,0
